1_Mục_đích_sd_srm,4_Sd_khi_nào,5_Mua_ở_đâu,6_Quảng_cáo_ở_đâu,91_Thích_hương_trái_cây?,92_Thích_hương_rau_củ?,93_Thích_hương_hoa_cỏ?,15_Xuất_xứ,16_Mua_online_ở_đâu,17_Mua_offline_ở_đâu,20_Lo_ngại_về_srm
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ",Các sàn thương mại điện tử,"Truyền thông; quảng cáo, Tư vấn từ bác sĩ",Đào,Rau má,Trà xanh,Hàn Quốc,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Trước khi đi ngủ,Các sàn thương mại điện tử,"Truyền thông; quảng cáo, Bạn bè","Táo, Đào, Cam","Thảo mộc, Nha đam","Anh đào, Trà xanh",Hàn Quốc,Sàn thương mại điện tử,Cửa hàng chính hãng,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Cấp ẩm; cân bằng độ pH, Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...","Sau khi thức dậy, Trước khi đi ngủ","Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Tư vấn từ bác sĩ, Chuyên viên, Gia đình; người thân",Khác,Khác,Khác,"Úc, Đức",Website của hãng,Nhà thuốc,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Hỗ trợ làm trắng da, Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu",Táo,Thảo mộc,Hoa hồng,Hàn Quốc,"Website của hãng, Các trang mạng xã hội","Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại","Gia đình; người thân, Bạn bè","Việt quất, Đào, Cam","Thảo mộc, Nha đam","Hoa hồng, Anh đào, Trà xanh",Việt Nam,Sàn thương mại điện tử,"Siêu thị, Nhà thuốc",Tác dụng phụ; gây kích ứng; bong tróc da
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu",Dâu,Cà chua,Trà xanh,Hàn Quốc,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi ra đường, Trước khi make-up","Hàng xách tay, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Tư vấn từ bác sĩ, Tự tìm hiểu","Mâm xôi, Cherry, Cam","Thảo mộc, Rau má, Cần tây","Hoa hồng, Trà xanh, Hoa sứ",Hàn Quốc,Sàn thương mại điện tử,Tạp hoá,Sản phẩm không có nguồn gốc rõ ràng
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,"Mỹ, Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các cửa hàng mỹ phẩm, Nhà thuốc","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Gia đình; người thân",Cam,Thảo mộc,Hoa hồng,"Hàn Quốc, Việt Nam",Website của hãng,"Nhà thuốc, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Nhân viên tiếp thị, Gia đình; người thân","Dâu, Cherry","Dưa leo, Nha đam","Hoa hồng, Trà xanh","Hàn Quốc, Việt Nam",Sàn thương mại điện tử,Cửa hàng chính hãng,"Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu",,,,"Nhật Bản, Hàn Quốc, Pháp","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm, Cửa hàng tiện lợi","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ",Các sàn thương mại điện tử,"Truyền thông; quảng cáo, Tự tìm hiểu","Cam, Chanh","Thảo mộc, Nha đam, Rau má",Hoa cúc,Nhật Bản,Website của hãng,"Nhà thuốc, Các cửa hàng mỹ phẩm","Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...,Trước khi đi ngủ,Cửa hàng của hãng,Gia đình; người thân,Dâu,Nha đam,Hoa hồng,Việt Nam,Website của hãng,Cửa hàng chính hãng,"Hàng giả; hàng nhái, Không có hiệu quả hoặc hiệu quả kém"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Gia đình; người thân","Táo, Cam, Chanh",Thảo mộc,"Anh đào, Trà xanh","Nhật Bản, Hàn Quốc, Pháp",Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Cấp ẩm; cân bằng độ pH, Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi về nhà, Trước khi đi ngủ","Các cửa hàng mỹ phẩm, Nhà thuốc","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Gia đình; người thân","Cherry, Đào, Cam","Dưa leo, Nha đam",Hoa hồng,Mỹ,Sàn thương mại điện tử,"Nhà thuốc, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè","Dâu, Đào, Chanh","Thảo mộc, Nha đam","Lavender, Hoa hồng, Anh đào",Nhật Bản,"Website của hãng, Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm",Tác dụng phụ; gây kích ứng; bong tróc da
Cấp ẩm; cân bằng độ pH,Sau khi về nhà,Các cửa hàng mỹ phẩm,Tự tìm hiểu,Việt quất,Thảo mộc,Trà xanh,Anh,"Website của hãng, Các trang mạng xã hội",Cửa hàng chính hãng,"Tác dụng phụ; gây kích ứng; bong tróc da, Không có hiệu quả hoặc hiệu quả kém"
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Website của hãng, Cửa hàng của hãng, Các cửa hàng mỹ phẩm",Tự tìm hiểu,"Cherry, Việt quất, Chanh","Nha đam, Rau má, Cà chua","Lavender, Hoa hồng, Trà xanh","Nhật Bản, Hàn Quốc, Việt Nam","Website của hãng, Sàn thương mại điện tử, Các trang mạng xã hội",Cửa hàng chính hãng,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Cấp ẩm; cân bằng độ pH, Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...",Trước khi đi ngủ,"Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu",,,,"Mỹ, Hàn Quốc",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Hàng xách tay","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Bạn bè",,,,"Nhật Bản, Hàn Quốc, Pháp",Sàn thương mại điện tử,"Nhà thuốc, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu",,,,"Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,Cửa hàng chính hãng,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè",,,,"Mỹ, Hàn Quốc, Pháp","Website của hãng, Sàn thương mại điện tử, Các trang mạng xã hội","Siêu thị, Các cửa hàng mỹ phẩm","Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu",,,,"Mỹ, Hàn Quốc, Việt Nam","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị",Tác dụng phụ; gây kích ứng; bong tróc da
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Cửa hàng của hãng, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu","Cam, Chanh","Dưa leo, Nha đam, Cà chua","Lavender, Hoa hồng, Trà xanh","Mỹ, Hàn Quốc","Website của hãng, Các trang mạng xã hội",Siêu thị,Tác dụng phụ; gây kích ứng; bong tróc da
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Sau khi về nhà,Website của hãng,"Gia đình; người thân, Tự tìm hiểu, Đồng nghiệp","Táo, Cam, Chanh","Dưa leo, Thảo mộc, Nha đam","Hoa hồng, Trà xanh, Hoa sứ",Đức,Website của hãng,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Không có hiệu quả hoặc hiệu quả kém"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,Pháp,"Website của hãng, Sàn thương mại điện tử",Cửa hàng chính hãng,Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm",Trước khi đi ngủ,"Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè",,,,"Mỹ, Anh, Việt Nam",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại",Tự tìm hiểu,,,,Pháp,Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ",Các sàn thương mại điện tử,"Truyền thông; quảng cáo, Bạn bè",,,,Hàn Quốc,Sàn thương mại điện tử,Cửa hàng chính hãng,Hàng giả; hàng nhái
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi ra đường, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Gia đình; người thân, Bạn bè",Cherry,Thảo mộc,Lavender,Hàn Quốc,Website của hãng,Cửa hàng chính hãng,Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ",Siêu thị; trung tâm thương mại,Tự tìm hiểu,Cherry,Nha đam,Lavender,Đức,Sàn thương mại điện tử,Siêu thị,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Sau khi thức dậy,Các sàn thương mại điện tử,"Tự tìm hiểu, Bạn bè",Cam,Rau má,Hoa hồng,Hàn Quốc,Sàn thương mại điện tử,Siêu thị,Hàng giả; hàng nhái
"Hỗ trợ làm trắng da, Hỗ trợ da căng bóng, Cấp ẩm; cân bằng độ pH","Sau khi thức dậy, Trước khi ra đường, Trước khi đi ngủ","Các sàn thương mại điện tử, Hàng xách tay, Website của hãng","Truyền thông; quảng cáo, Nhân viên tiếp thị, Chuyên viên","Mâm xôi, Cherry, Việt quất","Nha đam, Rau má, Cà chua","Lavender, Hoa hồng, Anh đào","Canada, Hàn Quốc, Trung Quốc","Website của hãng, Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Siêu thị, Nhà thuốc","Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Trước khi đi ngủ,"Các sàn thương mại điện tử, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Gia đình; người thân, Tự tìm hiểu",,,,"Mỹ, Canada, Pháp",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Hàng xách tay, Cửa hàng của hãng","Truyền thông; quảng cáo, Bạn bè",,,,"Mỹ, Pháp",Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm",Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Bạn bè","Dâu, Táo",Cà chua,Anh đào,Nhật Bản,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Tác dụng phụ; gây kích ứng; bong tróc da
"Hỗ trợ da căng bóng, Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...","Trước khi make-up, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",Dâu,"Thảo mộc, Nha đam, Rau má","Hoa hồng, Anh đào, Trà xanh","Hàn Quốc, Pháp, Đức",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ",Các sàn thương mại điện tử,Tự tìm hiểu,,,,Hàn Quốc,Sàn thương mại điện tử,"Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm",Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,Nhật Bản,"Website của hãng, Sàn thương mại điện tử",Các cửa hàng mỹ phẩm,Hàng giả; hàng nhái
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm",Sau khi về nhà,"Các sàn thương mại điện tử, Website của hãng, Cửa hàng của hãng","Tư vấn từ bác sĩ, Gia đình; người thân, Tự tìm hiểu",,,,Pháp,Sàn thương mại điện tử,"Cửa hàng chính hãng, Siêu thị, Tạp hoá",Sản phẩm không có nguồn gốc rõ ràng
"Hỗ trợ da căng bóng, Cấp ẩm; cân bằng độ pH","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Hàng xách tay","Truyền thông; quảng cáo, Nhân viên tiếp thị",Cherry,Nha đam,Hoa hồng,"Mỹ, Nhật Bản",Website của hãng,Các cửa hàng mỹ phẩm,Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Website của hãng, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Nhân viên tiếp thị, Tư vấn từ bác sĩ",Việt quất,Nha đam,Lavender,"Mỹ, Nhật Bản, Hàn Quốc",Website của hãng,Cửa hàng chính hãng,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Hỗ trợ làm trắng da, Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè","Táo, Đào, Cam","Thảo mộc, Nha đam","Lavender, Hoa hồng, Anh đào","Mỹ, Nhật Bản",Sàn thương mại điện tử,Cửa hàng chính hãng,Tác dụng phụ; gây kích ứng; bong tróc da
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè","Dâu, Cherry, Đào","Dưa leo, Thảo mộc, Nha đam","Lavender, Hoa hồng, Trà xanh","Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi make-up, Trước khi đi ngủ","Các sàn thương mại điện tử, Hàng xách tay, Website của hãng","Tư vấn từ bác sĩ, Chuyên viên, Tự tìm hiểu","Mâm xôi, Việt quất, Đào","Dưa leo, Thảo mộc, Nha đam","Hoa hồng, Trà xanh, Hoa cúc","Mỹ, Hàn Quốc, Việt Nam","Website của hãng, Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Không có hiệu quả hoặc hiệu quả kém"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Cửa hàng của hãng","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,Pháp,"Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Sau khi về nhà","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Tư vấn từ bác sĩ, Bạn bè",,,,"Nhật Bản, Pháp",Sàn thương mại điện tử,"Siêu thị, Nhà thuốc, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Cửa hàng của hãng","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Gia đình; người thân",,,,"Mỹ, Úc, Pháp","Website của hãng, Sàn thương mại điện tử",Nhà thuốc,Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,"Mỹ, Hàn Quốc, Việt Nam",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Tác dụng phụ; gây kích ứng; bong tróc da
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Trước khi đi ngủ,"Các sàn thương mại điện tử, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè","Táo, Cherry",Thảo mộc,"Anh đào, Trà xanh","Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm",Sau khi về nhà,"Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,"Nhật Bản, Hàn Quốc, Việt Nam",Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm",Tự tìm hiểu,,,,"Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử, Các trang mạng xã hội","Nhà thuốc, Các cửa hàng mỹ phẩm",Hàng giả; hàng nhái
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng","Truyền thông; quảng cáo, Chuyên viên, Tự tìm hiểu",,,,Hàn Quốc,Sàn thương mại điện tử,Cửa hàng chính hãng,"Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
